NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05781633,"The Efficacy and Safety of Eutideron, Etoposide, and Bevacizumab in Patients With Brain Metastases From Breast Cancer.",https://clinicaltrials.gov/study/NCT05781633,,RECRUITING,"This study was a single-arm, open-label, phase II study of breast cancer patients with brain metastases. Eligible patients received a regimen of eutidrone(30mg/m2/d,iv,d1-5,21d/cycle), etoposide(30mg/m2/d,iv,d1-3,21d/cycle), and bevacizumab (10mg/kg,d1,21d/cycle).At least 4 to 6 cycles were administered, and if patients had a response or stable disease, bevacizumab was used as maintenance therapy until disease progression or intolerable toxicity.",NO,"Mammary Neoplasms, Human",DRUG: eutidrone etoposide bevacizumab,"CNS Objective response rate (CNS-ORR), The proportion of patients with complete response (CR) and partial response (PR) evaluated as the best response observed from enrollment to progression of all CNS target lesions assessed according to RANO-BM criteria among the total number of patients who could be evaluated., 12 months","CNS Clinical benefit rate(CNS-CBR), Percentage of patients who achieved complete response (CR), partial response (PR), or stable disease (SD) in all CNS target lesions assessed by RANO-BM criteria within 12 weeks., 3 months|CNS Progression-free survival (CNS-PFS), Time from enrollment to the first radiographic documented disease progression (PD) of all CNS target lesions (RANO-BM criteria) or death from any cause without progression was recorded., 36 months|Objective response rate (ORR), Partial response is defined as a decrease by 30% or more in sums of longest diameter of measurable target lesions, 12 months|Progression-free survival（PFS）, Time from enrollment to the first radiographically confirmed disease progression (PD) (RECIST 1.1 criteria) or death from any cause without documented progression, 36 months|Overall survival (OS), Time from the enrollment to death of any cause, 36 months",,Tianjin Medical University Cancer Institute and Hospital,,FEMALE,"ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,UTD-1-BM-II,2022-07-20,2023-07-20,2025-07-20,2023-03-23,,2023-03-23,"Yehui Shi, Tianjin, Tianjin, 300060, China",
NCT05408676,Comparison of Dexamethasone Alone vs in Combination With Pericardium 6 (P6) Electrical Stimulation or Granisetron in the Prevention of Postoperative Nausea and Vomiting in Patients Undergoing Breast Cancer Surgery,https://clinicaltrials.gov/study/NCT05408676,P6 and PONV,COMPLETED,"Breast cancer is one of the three most common cancers worldwide, and the primary treatment method is surgery.Since most patients are non-smokers who use opioids in the postoperative period, which are known risk factors for postoperative nausea and vomiting (PONV) according to the Apfel Risk Score. Breast surgery was identified as a strong risk factor for PONV. According to the previous studies, the incidence of PONV is 30-70% in patients undergoing the breast cancer surgery, which not only gives patients unpleasant and painful experience, but also prolongs the hospital stays and delay patient discharge and adds to hospital costs. We compared the effects of dexamethasone alone vs. in combination with Pericardium 6 (P6) electrical stimulation or granisetron for inhibition of PONV in women undergoing breast cancer surgery.",NO,Mammary Cancer|PONV,DEVICE: electric stimulation therapy,"PONV within the first 24h after surgery, the incidence and severity of PONV, 24 hours after surgery.","PONV within the first 48h after surgery, the incidence and severity of PONV, 48 hours after surgery|the use of postoperative antiemetics, the frequency and dose of postoperative antiemetics, 48 hours after surgery|postoperative pain score, Numeric rating scale (NRS) at 2,6,24,48 hour and 3 month after the surgery, 3 months after surgery",,Fudan University,,FEMALE,ADULT,NA,198,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2110244-11,2022-06-10,2023-03-30,2023-05-02,2022-06-07,,2023-09-26,"Fudan University Shanghai Cancer Center, Shanghai, Shanghai, 200032, China",
NCT04301375,Omission of Surgery and Sentinel Lymph Node Dissection in Clinically Low-risk HER2positive Breast Cancer With High HER2 Addiction and a Complete Response Following Standard Anti- HER2-based Neoadjuvant Therapy (ELPIS Trial),https://clinicaltrials.gov/study/NCT04301375,ELPIS,NOT_YET_RECRUITING,"This is a prospective, single arm, open-label, exploratory study in women with primary operable HER2-positive, HER2-enriched(HER2-E)/ERBB2-high breast cancer according to PAM50 intrinsic subtype and a ERBB2 pre-defined cutoff (high vs low ERBB2 expression), to evaluate the omission of surgery and sentinel lymph node dissection in patients with HER2-E and ERBB2 high breast cancer who achieving a complete response following standard anti-HER2-based neoadjuvant therapy with paclitaxel/trastuzumab/pertuzumab.",NO,Mammary Cancer,DRUG: Pertuzumab and trastuzumab FDC subcutaneous|DRUG: Paclitaxel|DRUG: TDM1|DRUG: Endocrine therapy|PROCEDURE: Omission surgery,"To estimate the loco-regional invasive disease-free survival of patients who achieve a complete response, To estimate the loco-regional invasive disease-free survival at 3-year of patients who achieve a complete response based on imaging and a stereotactic-guided vacuum-assisted breast biopsy, and omit loco-regional surgery. 3-years loco-regional invasive disease-free survival rate is defined as time from the first date of no disease (i.e., date of stereotaxic guided biopsy) to loco-regional recurrence. Loco-regional recurrence is defined as recurrence of breast cancer in the same breast parenchyma as the original primary lesion, the axilla, regional lymph nodes, chest wall and/or skin of the ipsilateral breast., 3 years","To estimate the disease-free survival at 3years of patients who achieve a complete response based on imaging and a stereotaxic guided biopsy and omit loco-regional surgery following neoadjuvant chemotherapy and dual HER2 blockade., 3 years|To estimate the disease-free survival at 5 years of patients who achieve a complete response based on imaging and a stereotaxic guided biopsy and omit loco-regional surgery following neoadjuvant chemotherapy and dual HER2 blockade., 5 years|To estimate the disease-free survival at 3years of patients who do not achieve a complete response based on imaging following neoadjuvant chemotherapy and dual HER2 blockade, 3 years|To estimate the disease-free survival at 5 years of patients who do not achieve a complete response based on imaging following neoadjuvant chemotherapy and dual HER2 blockade, 5 years|To compare the cost in patients with and without breast cancer surgery, not only direct cost for hospitals/public health system, but also indirect cost for public system, Measured the cost in monetary units, 5 years|To assess the effect of investigational treatment and standard treatment on patient reported outcomes, European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-C30 (EORTC QLQ-C30), version 3; 3.2 EORTC QLQ-BR23 (breast cancer-specific questionnaire). There are all scale with a range that goes from 0 to 100 were 0 is the worst result and 100 the best., 5 years|Incidence, duration and severity of Adverse Events assessed by the NCI Common Terminology for Classification of Adverse Events version 5, including dose reductions, delays and treatment discontinuations, 5 years",,David Garcia Cinca,Fundacion Clinic per a la Recerca Biomédica,FEMALE,"ADULT, OLDER_ADULT",PHASE2,27,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-004559-35,2020-06-15,2027-07-15,2027-07-15,2020-03-10,,2020-03-10,"Hospital Clínic de Barcelona, Barcelona, 08036, Spain",
NCT04678544,Cooling Cap Trial to Prevent Permanent Chemotherapy-induced Alopecia in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT04678544,,COMPLETED,"This study aims to examine whether the PSCS2 is effective in reducing chemotherapy-induced alopecia in woman with breast cancer undergoing neoadjuvant or adjuvant chemotherapy. Female adults who are newly diagnosed with stage 1-3 breast cancer and expected to receive Adriamycin or/and Taxane will participate in the study. The study design is a open label, randomized controlled trial. The patients will be randomly assigned to intervention or control groups. Intervention patients will have applied scalp cooling during 4 or 6 cycles of their chemotherapy. Primary endpoint is the effectiveness of the PSCS2 for reducing permanent chemotherapy-induced alopecia. Secondary endpoints include chemotherapy-induced alopecia, distress due to chemotherapy induced alopecia, quality of life, and patient-reported alopecia related side effect.",NO,"Neoplasm, Breast",DEVICE: Scalp cooling system 2,"Permanent chemotherapy-induced alopecia, Permanent chemotherapy-induced alopecia is defined as hair density or thickness less than two standard deviations (SDs) compared to the baseline mean (before chemotherapy) at 6 months (±2 months) after completion of chemotherapy. Hair density and thickness will be measured by using Folliscope 5.0, LeadM., 6 months (±2 months) after completion of chemotherapy and intervention","Hair density and thickness during and after chemotherapy, Hair density and thickness will be measured by using Folliscope 5.0, LeadM between 1st and 2nd intervention and at 1st clinical visit after chemotherapy compared to the baseline mean (before chemotherapy)., Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention|Distress due to chemotherapy-induced alopecia, Chemotherapy-Induced Alopecia Distress Scale (CADS) will be used to demonstrate that the PSCS is effective in reducing distress due to chemotherapy-induced alopecia in woman with breast cancer undergoing neoadjuvant or adjuvant chemotherapy, Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention|Quality of life (cancer related quality of life), Quality of life will be measured using EORTC QLQ-C30. The QLQ-C30 is a cancer health-related quality-of-life questionnaire that has been widely used in clinical trials and investigations using patient reported outcome for individual patient management. It use a ""past week"" recall period. Raw scores are linearly converted to a 0-100 scale with higher scores reflecting higher levels of Quality of life., Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention|Breast cancer related quality of life, Quality of life will be measured using EORTC QLQ-BR23. The BR23 is a breast cancer specific module to measure health-related quality-of-life . It use a ""past week"" recall period. Raw scores are linearly converted to a 0-100 scale with higher scores reflecting higher levels of Quality of life., Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention|Patients reported outcomes, Self-reported hair loss will be assessed by using Korean version of PRO-CTCAE., Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention, and 6 months (±2 months) after completion of chemotherapy and intervention|Global photographs, Pictures to be focused on head/hair, which means shorter distance between the equipment and the subject by using Canon EOS 70D., Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention, and 6 months (±2 months) after completion of chemotherapy and intervention","Side effect, Potential side-effect including discomfort due to the cold, headache, dizziness or vomiting., At the beginning (1st day) of the 2nd cycle (each cycle is 21days), At the beginning of 3rd cycle of chemotherapy, At the beginning of 4th cycle of chemotherapy, At the beginning of 5th cycle of chemotherapy, and , At the beginning 6th of chemotherapy|Willingness to pay, Willingness to pay to use scalp cooling by self-developed questionnaire., At the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy, and 6 months (±2 months) after completion of chemotherapy|Effort for managing hair, Usual care for hair and scalp, type of shampoo, wig, Baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), 1month (±2 weeks) after completion of chemotherapy and intervention, and 6 months (±2 months) after completion of chemotherapy|Characteristic of participants, Demographic information including age, education, marital status, working status, income, smoking and drinking history, medication, exposure-time to sunlight and co-morbidities, Smoking, drinking, medication and exposure-time to sunlight at baseline, at the beginning (1st day) of the 2nd cycle (each cycle is 21days), and 6m (±2m) after completion of chemotherapy, the others at only baseline",Samsung Medical Center,Paxman,FEMALE,"ADULT, OLDER_ADULT",NA,170,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,PAXMAN,2020-12-23,2021-08-27,2022-08-30,2020-12-22,,2022-12-16,"Samsung Medical Center, Ilwon-ro 81, Gangnam-gu, Seoul, 06351, Korea, Republic of",
NCT05665920,Efficacy and Safety of Ultra_HYPofractionated RadiotHerapy in Women With BrEast CaNcer Receiving Regional Nodal Radiation vs Nodal Moderate Hypofractionated Radiotherapy,https://clinicaltrials.gov/study/NCT05665920,HYPHEN,RECRUITING,"The reduction in the number of fractions in radiotherapy is especially attractive in several senses, and even more so considering breast cancer, which has a high incidence and generally favorable prognosis. Thus, as a reference Institution, the investigators intend to start the treatment of selected patients with a radiotherapy scheme of 26 Gy / 5 fractions in one week, in a controlled manner, through this project.The investigators consider the moment extremely propitious to start the study, as in addition to having the first publication of a large randomized study, proving the effectiveness and safety of the strategy, the investigators will be able to benefit more patients and the health system itself by minimizing the daily visits of these patients at the hospital.",NO,Malignant Breast Neoplasm,RADIATION: Ultra-hypofractionated whole breast radiotherapy|RADIATION: Standard Radiation,"Locoregional recurrence (LRR), To estimate and compare the rate of local recurrence between the experimental and control arms., 10 years","Overall survival, Overall survival time, defined as number of days from date of initial diagnosis until death or end of follow-up., 10 years|Disease-free survival, Disease-free survival, defined as number of days from surgery until the first occurrence of local recurrence, distant metastases, tumor-related death, death without prior progression, or end of follow-up., 10 years|Locoregional control, Locoregional control defined as biopsy-proven recurrence of breast cancer involving the chest wall, breast, axilla, internal breast or supraclavicular nodes., 10 years|Early and late adverse effects in normal tissues, To evaluate the results reported by patient and evaluated by doctors, as well as, photographic assessments., 10 years|Late adverse effects, To evaluate if the patient had symptoms of swelling or edema in the arm, breast shrinkage, hardness, pigmentation, necrosis, pain and tenderness in the breast., 10 years|Acute toxicity rate, To evaluate acute toxicity rate. The maximum grade for acute toxicity will be recorded for each patient at each treatment evaluation using RTOG (Radiation Therapy Oncology Group)., 10 years|Evaluation of quality of life change by European Organization for Research and Treatment of Cancer Breast-Cancer-Specific Quality of Life Questionnaire (EORTC QLQ-BR23), To evaluate the patient quality of life with the help of the European Organization for Research and Treatment of Cancer Breast-Cancer-Specific Quality of Life Questionnaire (EORTC QLQ-BR23). The 23-item EORTC QLQ BR23 contains two breast cancer specific functional scales (body image and sexuality) and three symptom scales evaluating arm symptoms, breast symptoms, and systemic therapy symptoms. The minimum and maximum values are 0 and 100, and higher scores mean a better outcome., Baseline and 3 months, 6 months, 12 months, 2 years, 10 years after treatment end|Measurement Satisfaction of Body Image of the participants, To evaluate the patient quality of life and patient satisfaction with the help of the Body Image Scale (BIS). Scores are interpreted according to the guidelines of the Scoring Manual. The Body Image Scale (BIS) is a self-assessment scale designed to assess cancer patients' perceptions of their appearance and identify any changes to those perceptions resulting from a disease or a treatment. The total score ranges from 0 to 30. A higher score means a higher level of body image disturbance., Baseline and 3 months, 6 months, 12 months after radiotherapy and 2 years, 10 years after treatment end",,Instituto Brasileiro de Controle do Cancer,,FEMALE,"ADULT, OLDER_ADULT",NA,36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,60905722.0.0000.0072,2022-10-18,2027-10-18,2030-12-31,2022-12-27,,2022-12-29,"IBCC Oncologia, Sao Paulo, SP, 03102-002, Brazil",
NCT05408260,A Study to Compare the Effectiveness of Two Types of Ultrasound Technologies in Women Who Have Had Breast Cancer,https://clinicaltrials.gov/study/NCT05408260,,RECRUITING,"This clinical trial evaluates automated breast ultrasound (ABUS) and handheld ultrasound (HHUS) for the screening of women who have undergone breast reconstruction after breast cancer. Ultrasounds use high-frequency sound waves to create pictures of internal organs and tissues. ABUS has been found to be equal to HHUS for whole breast screening, but no data exist on its use for screening of reconstructed patients. This clinical trial evaluates the feasibility of using ABUS versus HHUS to screen women who have undergone reconstruction.",NO,Malignant Breast Neoplasm,PROCEDURE: Ultrasonography|PROCEDURE: Automated Breast Ultrasound,"Detection of the residual tissue (i.e., artifact) in reconstructed nipple sparing mastectomy (NSM) and skin sparing mastectomy (SSM) patients by automated breast ultrasound (ABUS) and handheld ultrasound (HHUS), This is a binary endpoint. The rate of artifact will be compared between handheld and automated scanning using McNemar test., Up to 1 year",,,Thomas Jefferson University,,FEMALE,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,19D.799,2022-11-18,2024-06,2024-12,2022-06-07,,2024-01-08,"Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States",
NCT04174391,Lifestyles and Breast Cancer,https://clinicaltrials.gov/study/NCT04174391,LifeBreast,RECRUITING,"Background: In Spain, 1 out of every 11 women will have a breast cancer before the age of 85 years and breast cancer is the leading cause of potential years of life lost. The randomized intervention in PREDIMED trail, using Mediterranean diet with free provision of extra virgin olive oil (MedDiet+EVOO) dramatically and significantly reduced the occurrence of cases of postmenopausal breast cancer.

Objectives: Assess the efficacy of a nutritional intervention with MedDiet+EVOO for the prevention of relapses among women with early breast cancer.

Methods: Randomized, multicenter trial (LifeBreast) among 766 women diagnosed with early breast cancer. Participants will be randomized in a 1:1 ratio to i) MedDiet+EVOO or ii) low-fat diet. Changes in circulating tumor cells, inflammatory biomarkers, oxidative stress and quality of life will be evaluated. The intervention will be delivered by face-to-face interviews with study dietitian, phone calls, and online tools. Participants in the MedDiet+EVOO group will receive 0.5l/week of EVOO and participants in the low-fat group will receive allotments of different foods, both at no cost. Generalized estimating equations will be used to estimate between-group differences in the following outcomes: circulating tumor cells, inflammatory biomarkers, oxidative stress, and quality of life will be evaluated.",NO,Malignant Tumor of Breast,BEHAVIORAL: Mediterranean diet supplemented with extra-virgin olive oil|BEHAVIORAL: Low-fat diet,"Presence of circulating tumour cells, Blood samples will be collected at baseline and yearly thereafter. Presence of circulating tumour cells will be determined with immunohistochemical techniques and defined as ≥1 circulating tumour cell in 10 ml of peripheral blood., average follow-up: 1.5 years|Changes in inflammatory markers, Changes in the inflammatory profile of the participants as plasma cytokines - such as IL-6 -, changes in oxidative stress response with the lipid peroxidation test (LPO test), and changes in DNA damage with electrophoresis single-cell alkaline (comet Assay) in buffy coat will be assessed., average follow-up: 1.5 years","Changes in quality of life, Changes in quality of life will be assessed with the 36-Item Short Form Survey (SF-36) questionnaire. The questionnaire score ranges from 0-100, with higher score meaning better outcomes., average follow-up: 1.5 years|Changes in quality of life, Changes in quality of life will be assessed with the the Functional Assessment of Cancer Therapy - Breast (FACT-B) questionnaire. The questionnaire score ranges from 0-148, with higher score meaning better outcomes., average follow-up: 1.5 years|Changes in body mass-index, Weight and height will be ascertained at baseline and yearly thereafter Weight and height will be directly measured in triplicate by trained study personnel, average follow-up: 1.5 years","Changes in lipid profile, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of cholesterol using standard enzymatic methods., average follow-up: 1.5 years|Changes in lipid profile, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of triglycerides using standard enzymatic methods., average follow-up: 1.5 years|Changes in blood glucose, Blood samples will be collected at baseline and yearly thereafter. Blood samples will be obtained after an overnight fast to determine levels of fasting blood glucose using standard enzymatic methods., average follow-up: 1.5 years|Changes in mammographic density, All available digital mammograms during follow-up of the contralateral non-affected breast of each woman will be collected, they will be read by an experienced radiologist in a blind way (without knowing the allocation group) using the DM-Scan program., average follow-up: 1.5 years",University of Navarra,Instituto de Salud Carlos III,FEMALE,"ADULT, OLDER_ADULT",NA,766,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2019.046,2020-05-29,2024-06,2024-12,2019-11-22,,2022-07-27,"University of Cantabria, Santander, Cantabria, 39011, Spain|University of Navarra-Instituto de Investigación Sanitaria de Navarra, Pamplona, Navarra, 31008, Spain|Instituto de Investigación Biosanitaria de Granada ibs.GRANADA, Granada, 18016, Spain|University of Jaen, Jaen, 23071, Spain",
NCT05989022,Comparison of Low-dose Spiral Breast CT With MRI in Major Indications of MRI for Breast Diagnostics,https://clinicaltrials.gov/study/NCT05989022,,RECRUITING,Comparison between two diagnostic modalities for breast cancer diagnosis. Two different imaging systems are compared to evaluate the performance of the two systems,NO,Breast Cancer Diagnosis,DIAGNOSTIC_TEST: Injection of contrast enhancing agent Gadovist for MRI investigation|DIAGNOSTIC_TEST: Injection of contrast enhancing agent Imeron for B-CT investigation,"Non-inferiority of CE-BCT compared with CE-MRI in Breast Cancer diagnosis, The primary objective is to demonstrate non-inferiority of CE-BCT with CE-MRI in the BI-RADS detection at the lesion level in the diagnosis of eight indications for CE-MRI diagnosis.

Patients with with major indications of CE-MRI will receive an additional diagnosis with CE-BCT. The images of both modalities will be compared by 3 independent raters which were randomly assigned to pseudonymized images. That rating follow the six BI-RADS Scales on lesion basis. The descriptive data will be compared according the evaluated BI-RADS scores of the raters and both modalities. For the non-inferiority test, the mean difference of lesion-wise BI-RADS scores between modalities will be used; it is expected that the mean BI-RADS values at lesion level are almost equal for both modalities., one year","Collect data for comfort of CE-BCT and CE-MRI, The secondary objective is to collect data for comfort of CE-BCT and CE-MRI using a patient questionnaire of closed questions. The questionnaire asks in 7 categories for 1. Overall rating of the examination 2. Comfort of the device during examination 3. The feel of the operating noise of the device 4. The rating of the space provided by the device 5. The duration of the examination 6. The question if the patient would agree to have the examination again, if necessary with the device 7. After both modalities which diagnostic method would be the preference, MRI or BCT. Every question can be rated with 5 possible ratings from very good to very bad or adapted possibilities like pleasantly quit to unpleasantly loud., one year",,AB-CT - Advanced Breast-CT GmbH,CRO Dr. med. Kottmann GmbH,FEMALE,"ADULT, OLDER_ADULT",NA,428,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,ldBCT-MRI-C,2023-11-24,2024-08,2024-12,2023-08-14,,2024-01-30,"Radiologisches Institut Universitätsklinikum Erlangen, Erlangen, 91054, Germany|Stichting Martini Ziekenhuis, Groningen, 9728 NT, Netherlands|Leiden University Medical Centre, Leiden, 2333 ZA, Netherlands",
NCT04948983,The Effect of a Patient Decision Aids for Breast Cancer Screening,https://clinicaltrials.gov/study/NCT04948983,,UNKNOWN,"Breast cancer is one of the most common cancers in Chile. National efforts focus on early detection, offering universal access to breast cancer screening through mammography to women at risk age. However, 30% of women do not undertake the exam due to a lack of knowledge and anxiety when facing the decision. The aim of this study is to develop and evaluate the effectiveness of a decision aid (DA) for women facing breast cancer screening decision in the country. Methods: following the Medical Research Council guidelines for the development and implementation of a complex intervention in public health, the investigators have: 1) culturally adapted the German DA for mammography; 2) conducted focus groups with experts to further develop the DA; 3) pilot-tested the online DA with 20 women in primary care centres.

A total of 3,269 women aged 50 to 69 years old are invited to join the study. The intervention group accesses a webpage, answers a set of questionnaires at baseline, and then the DA (developed according to the IPDAS recommendations). The Control group accesses a webpage, answers a set of questionnaires at baseline, and then receives standardised information given by the healthcare system. Both groups complete the questionnaires two weeks later. The primary outcome measure is an adapted and validated version of Informed Choice. Additionally, decisional conflict, anxiety, and screening undertake rate are measured. Multiple lineal regression analysis will be conducted.",NO,Breast Cancer|Mammary Cancer|Breast Tumor|Mammary Tumor,OTHER: Decision aid (DA) for breast cancer screening|OTHER: Standarised information for breast cancer screening,"Informed choice for breast cancer screening, An adapted and validated version of the informed choice questionnaire will be used: this is a five-item questionnaire to measure informed choice (Bravo P, Dois A, Fernández-González L, Hernández-Leal MJ, Villarroel L. \[Validation of the Informed Choice instrument for Chilean women facing a mammography decision in primary care\]. Aten Primaria. 2021 Mar;53(3):101943. doi: 10.1016/j.aprim.2020.08.005. Epub 2021 Feb 13. Spanish. PubMed ID: 33592532).

Minimum value= 5 Maximum value= 25, Change from baseline informed choice at two weeks","Decisional conflict, Decisional conflict scale with 16 items that measure uncertainty in the decision making process.

Minimum value= 16 Maximum value= 80, Change from baseline decisional conflict at two weeks|Depression, anxiety and stress, This will be measured with the DASS-21 Scale, a self-reported 21-item that captures depression, anxiety and stress during the last week.

Minimum value= 21 Maximum value= 84, Change from baseline drepression, anxiety and stress at two weeks|Satisfaction with the decision, This is a two-item self-reported satisfaction questionnaire related to breast cancer screening.

Minimum value= 0 Maximum value= 1, Change from baseline satisfaction with the decision at two weeks|Number of participants who undertake a mammography, This will be the number of women who decided to undertake the mammography. This outcome will be obtained from the clinical record of each participant six months after baseline questionnaires.

Minimum value= 0 Maximum value= 1, At 6 months",,Pontificia Universidad Catolica de Chile,Comisión Nacional de Investigación Científica y Tecnológica,FEMALE,"ADULT, OLDER_ADULT",NA,3269,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,SA18i0002,2021-07-01,2022-10-31,2022-10-31,2021-07-02,,2022-08-05,"Alejandra Martínez, Santiago, sANTIAGO, Chile",
NCT04692818,3D Ultrasound Breast Imaging,https://clinicaltrials.gov/study/NCT04692818,,RECRUITING,The purpose of this research is to study the efficacy of a new ultrasound imaging method for diagnosis of breast mass.,NO,Breast Tumor,DIAGNOSTIC_TEST: GE Logiq E10 clinical ultrasound scanner|DIAGNOSTIC_TEST: Verasonics research scanner,"BI-RADS Score, BI-RADS scores will be obtained using 2D B-mode ultrasound images from the GE Logiq E10 clinical scanner, and using 3D B-mode images from the Verasonics scanner. A 7-point BI-RADS scale will be used, with a score of 1, 2, or 3 considered negative and 4a, 4b, 4c, and 5 considered positive., Baseline",,,Mayo Clinic,United States Department of Defense,FEMALE,"ADULT, OLDER_ADULT",NA,125,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,20-010751|W81XWH-21-1-0063,2021-11-19,2024-12-31,2025-12-31,2021-01-05,,2024-01-08,"Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States",
